,Order Number,Order Date,Item Name,Quantity,Product Price,Total products
37,16094,02/08/2019 20:23,Rogon - Lamb,1,8.95,9
38,16094,02/08/2019 20:23,Chicken Tikka Karahi,1,9.95,9
39,16093,02/08/2019 20:18,Onion Bhajee,1,3.95,6
40,16093,02/08/2019 20:18,Chicken Tikka Masala,1,8.95,6
41,16091,02/08/2019 19:19,Lemon Rice,1,3.95,5
42,16091,02/08/2019 19:19,Chapati,1,1.95,5
43,16090,02/08/2019 19:14,Lamb Biryani,2,9.95,2
44,16090,02/08/2019 19:14,Peshwari Naan,1,2.95,2
45,16089,02/08/2019 18:41,Aloo Gobi,1,5.95,21
46,16089,02/08/2019 18:41,Madras - Chicken,1,7.95,21
47,16089,02/08/2019 18:41,Korma - Chicken,1,8.95,21
48,16089,02/08/2019 18:41,Lal Mirch Chicken,1,9.95,21
49,16089,02/08/2019 18:41,Mushroom Rice,2,3.95,21
50,16089,02/08/2019 18:41,Keema Naan,1,2.95,21
51,16089,02/08/2019 18:41,Plain Papadum,10,0.8,21
52,16089,02/08/2019 18:41,Mint Sauce,2,0.5,21
53,16088,02/08/2019 18:18,Bombay Aloo,1,5.95,7
54,16086,02/08/2019 17:43,Meat Samosa,1,3.95,8
55,16086,02/08/2019 17:43,Aloo Gobi,1,5.95,8
56,16085,02/08/2019 17:26,Bombay Aloo,1,5.95,7
57,16083,02/08/2019 11:35,Chicken Tikka (Main),2,8.95,15
58,16083,02/08/2019 11:35,Chicken Tikka Masala,1,8.95,15
59,16083,02/08/2019 11:35,Pilau Rice,4,2.95,15
60,16083,02/08/2019 11:35,Aloo Chaat,1,4.95,15
61,16083,02/08/2019 11:35,Chicken Shashlick,1,9.95,15
62,16082,01/08/2019 20:42,Prawn Balti,1,10.95,2
63,16081,01/08/2019 19:51,Curry - Chicken,1,7.95,9
64,16081,01/08/2019 19:51,Plain Naan,1,2.6,9
65,16081,01/08/2019 19:51,Plain Papadum,1,0.8,9
66,16081,01/08/2019 19:51,Mango Chutney,1,0.5,9
67,16081,01/08/2019 19:51,Mixed Starter,1,5.95,9
68,16080,01/08/2019 19:16,Mushroom Rice,1,3.95,6
69,16079,01/08/2019 18:45,Pathia - Chicken Tikka,2,8.95,5
70,16079,01/08/2019 18:45,House white wine 75cl,1,17.95,5
71,16078,01/08/2019 18:41,Lime Pickle,1,0.5,6
72,16078,01/08/2019 18:41,Plain Rice,1,2.95,6
73,16076,01/08/2019 18:02,Mixed Vegetable Curry,1,5.95,7
74,16076,01/08/2019 18:02,Mango Chutney,1,0.5,7
75,16076,01/08/2019 18:02,Raitha,1,2.95,7
76,16075,01/08/2019 17:59,Madras - Chicken,1,7.95,4
77,16075,01/08/2019 17:59,Bottle Diet Coke,1,2.95,4
78,16075,01/08/2019 17:59,Plain Rice,1,2.95,4
79,16074,01/08/2019 17:34,Chicken Tikka Jalfrezi,1,8.95,4
80,16074,01/08/2019 17:34,Plain Papadum,2,0.8,4
81,16072,01/08/2019 12:33,Special Fried Rice,1,3.95,4
82,16071,31/07/2019 21:10,Lamb Biryani,1,9.95,4
83,16069,31/07/2019 20:35,Plain Naan,1,2.6,4
84,16068,31/07/2019 20:11,Onion Bhajee,2,3.95,4
85,16067,31/07/2019 20:05,Chicken Tikka Jalfrezi,1,8.95,4
86,16067,31/07/2019 20:05,Pilau Rice,1,2.95,4
87,16066,31/07/2019 19:54,Sheek Kebab,1,4.95,7
88,16066,31/07/2019 19:54,Madras - King Prawn,1,11.95,7
89,16066,31/07/2019 19:54,Pilau Rice,2,2.95,7
90,16065,31/07/2019 19:35,Chicken Tikka Masala,1,8.95,11
91,16065,31/07/2019 19:35,Plain Naan,5,2.6,11
92,16065,31/07/2019 19:35,Madras - Chicken Tikka,2,7.95,11
93,16063,31/07/2019 19:17,Chicken Tikka,1,4.95,4
94,16063,31/07/2019 19:17,Garlic Naan,1,2.95,4
95,16063,31/07/2019 19:17,Bottle Diet Coke,1,2.95,4
96,16062,31/07/2019 19:05,Lemon Rice,1,3.95,5
97,16061,31/07/2019 19:02,Red Sauce,1,0.5,5
98,16060,31/07/2019 18:58,Saag - Chicken,1,8.95,3
99,16059,31/07/2019 18:50,Sheek Kebab,1,4.95,6
100,16059,31/07/2019 18:50,Pilau Rice,1,2.95,6
101,16059,31/07/2019 18:50,French Fries,1,3.95,6
102,16058,31/07/2019 17:16,Keema Rice,1,3.95,3
103,16058,31/07/2019 17:16,Bombay Aloo,1,5.95,3
104,16057,31/07/2019 13:55,Lamb Biryani,1,9.95,3
105,16057,31/07/2019 13:55,Lamb Tikka Chilli Masala,1,8.95,3
106,16057,31/07/2019 13:55,Garlic Naan,1,2.95,3
107,16056,30/07/2019 21:05,French Fries,1,3.95,4
108,16055,30/07/2019 20:10,Chicken Mysore,1,9.95,3
109,16055,30/07/2019 20:10,Lamb Chilli Garlic,1,9.95,3
110,16054,30/07/2019 19:55,Tandoori Mixed Grill,1,11.95,3
111,16053,30/07/2019 18:43,Chicken Shashlick,1,9.95,5
112,16052,30/07/2019 18:43,Saag Paneer,1,5.95,4
113,16052,30/07/2019 18:43,Baingan Hari Mirch,1,5.95,4
114,16051,30/07/2019 18:38,Lemon Rice,1,3.95,4
115,16050,30/07/2019 18:33,Lime Pickle,1,0.5,12
116,16047,30/07/2019 17:35,Red Sauce,1,0.5,6
117,16043,30/07/2019 17:00,Red Sauce,1,0.5,8
118,16041,29/07/2019 22:21,Red Sauce,1,0.5,6
119,16033,29/07/2019 17:20,Mint Sauce,1,0.5,6
120,16026,28/07/2019 19:29,Mint Sauce,1,0.5,7
121,16020,28/07/2019 17:58,Mint Sauce,1,0.5,6
122,15995,27/07/2019 18:01,Mint Sauce,1,0.5,10
123,15990,27/07/2019 16:55,Onion Chutney,2,0.5,13
124,15990,27/07/2019 16:55,Mint Sauce,2,0.5,13
125,15990,27/07/2019 16:55,Lime Pickle,1,0.5,13
126,15980,26/07/2019 19:51,Mango Chutney,1,0.5,6
127,15979,26/07/2019 19:42,Mango Chutney,1,0.5,6
128,15979,26/07/2019 19:42,Red Sauce,1,0.5,6
129,15978,26/07/2019 19:42,Red Sauce,1,0.5,10
130,15978,26/07/2019 19:42,Mango Chutney,1,0.5,10
131,15978,26/07/2019 19:42,Mint Sauce,1,0.5,10
132,15977,26/07/2019 19:33,Mint Sauce,1,0.5,10
133,15973,26/07/2019 19:12,Mint Sauce,1,0.5,9
134,15967,26/07/2019 18:32,Mango Chutney,1,0.5,7
135,15966,26/07/2019 18:14,Mango Chutney,1,0.5,7
136,15964,26/07/2019 17:46,Mint Sauce,2,0.5,11
137,15951,25/07/2019 19:11,Mint Sauce,1,0.5,8
138,15947,25/07/2019 17:23,Lime Pickle,1,0.5,5
139,15945,24/07/2019 23:08,Mint Sauce,1,0.5,11
140,15945,24/07/2019 23:08,Onion Chutney,1,0.5,11
141,15935,23/07/2019 21:30,Mint Sauce,1,0.5,9
142,15925,22/07/2019 20:14,Mint Sauce,1,0.5,6
143,15925,22/07/2019 20:14,Red Sauce,1,0.5,6
144,15915,21/07/2019 18:55,Mango Chutney,2,0.5,5
145,15914,21/07/2019 18:47,Mango Chutney,1,0.5,7
146,15904,21/07/2019 14:36,Lime Pickle,1,0.5,4
147,15891,20/07/2019 19:04,Onion Chutney,1,0.5,6
148,15888,20/07/2019 18:45,Mango Chutney,2,0.5,9
149,15887,20/07/2019 18:41,Mint Sauce,1,0.5,11
150,15887,20/07/2019 18:41,Red Sauce,1,0.5,11
151,15879,20/07/2019 16:55,Mango Chutney,1,0.5,7
152,15873,19/07/2019 20:15,Mint Sauce,1,0.5,8
153,15872,19/07/2019 19:44,Onion Chutney,4,0.5,12
154,15870,19/07/2019 19:29,Mango Chutney,1,0.5,6
155,15861,19/07/2019 18:10,Lime Pickle,1,0.5,11
156,15854,19/07/2019 17:31,Onion Chutney,2,0.5,6
157,15825,16/07/2019 20:22,Onion Chutney,2,0.5,4
158,15814,16/07/2019 17:35,Lime Pickle,1,0.5,6
159,15809,15/07/2019 21:30,Mint Sauce,1,0.5,3
160,15804,15/07/2019 18:51,Mango Chutney,1,0.5,8
161,15804,15/07/2019 18:51,Mint Sauce,1,0.5,8
162,15785,14/07/2019 16:41,Mango Chutney,1,0.5,7
163,15776,13/07/2019 19:31,Mango Chutney,1,0.5,5
164,15767,13/07/2019 18:36,Onion Chutney,2,0.5,8
165,15760,13/07/2019 17:17,Mango Chutney,1,0.5,5
166,15748,12/07/2019 19:18,Mango Chutney,1,0.5,8
167,15735,11/07/2019 19:33,Mango Chutney,2,0.5,18
168,15735,11/07/2019 19:33,Onion Chutney,2,0.5,18
169,15723,10/07/2019 19:24,Onion Chutney,1,0.5,8
170,15721,10/07/2019 18:25,Lime Pickle,1,0.5,9
171,15720,10/07/2019 18:17,Onion Chutney,1,0.5,6
172,15711,09/07/2019 17:41,Red Sauce,1,0.5,4
173,15695,07/07/2019 19:42,Onion Chutney,1,0.5,6
174,15688,07/07/2019 18:04,Mint Sauce,2,0.5,6
175,15679,06/07/2019 20:47,Mango Chutney,1,0.5,9
176,15670,06/07/2019 19:18,Mango Chutney,1,0.5,13
177,15669,06/07/2019 19:02,Onion Chutney,1,0.5,8
178,15658,06/07/2019 18:02,Onion Chutney,1,0.5,10
179,15655,06/07/2019 17:15,Mango Chutney,1,0.5,17
180,15645,05/07/2019 19:43,Onion Chutney,1,0.5,7
181,15637,05/07/2019 18:23,Mango Chutney,1,0.5,6
182,15633,05/07/2019 17:56,Mango Chutney,2,0.5,7
183,15632,05/07/2019 17:33,Onion Chutney,2,0.5,7
184,15631,05/07/2019 17:26,Mango Chutney,2,0.5,9
185,15631,05/07/2019 17:26,Onion Chutney,1,0.5,9
186,15630,05/07/2019 17:22,Mint Sauce,1,0.5,10
187,15630,05/07/2019 17:22,Onion Chutney,1,0.5,10
188,15626,04/07/2019 19:50,Mango Chutney,1,0.5,12
189,15626,04/07/2019 19:50,Mint Sauce,1,0.5,12
190,15616,03/07/2019 20:12,Red Sauce,1,0.5,8
191,15614,03/07/2019 19:18,Mango Chutney,1,0.5,7
192,15614,03/07/2019 19:18,Mint Sauce,1,0.5,7
193,15601,02/07/2019 19:13,Mango Chutney,2,0.5,6
194,15595,01/07/2019 19:44,Onion Chutney,1,0.5,5
195,15588,30/06/2019 21:36,Mango Chutney,1,0.5,5
196,15584,30/06/2019 19:46,Mint Sauce,2,0.5,6
197,15560,29/06/2019 19:00,Onion Chutney,1,0.5,8
198,15558,29/06/2019 18:15,Mango Chutney,1,0.5,13
199,15558,29/06/2019 18:15,Mint Sauce,2,0.5,13
200,15546,28/06/2019 20:23,Mango Chutney,1,0.5,7
201,15537,28/06/2019 18:47,Mango Chutney,2,0.5,10
202,15536,28/06/2019 18:43,Red Sauce,2,0.5,9
203,15525,27/06/2019 20:16,Mint Sauce,1,0.5,5
204,15513,26/06/2019 17:46,Mango Chutney,2,0.5,8
205,15512,26/06/2019 17:42,Onion Chutney,2,0.5,6
206,15494,24/06/2019 19:00,Mango Chutney,1,0.5,4
207,15487,23/06/2019 20:37,Mint Sauce,2,0.5,8
208,15479,23/06/2019 17:53,Mango Chutney,1,0.5,10
209,15477,23/06/2019 17:33,Red Sauce,1,0.5,8
210,15466,22/06/2019 19:38,Mint Sauce,1,0.5,7
211,15443,21/06/2019 18:47,Mint Sauce,1,0.5,7
212,15440,21/06/2019 18:40,Mint Sauce,1,0.5,5
213,15436,21/06/2019 18:24,Mint Sauce,1,0.5,8
214,15433,21/06/2019 17:35,Mango Chutney,1,0.5,9
215,15427,20/06/2019 18:56,Mango Chutney,1,0.5,5
216,15419,19/06/2019 19:25,Onion Chutney,1,0.5,6
217,15387,17/06/2019 12:12,Lime Pickle,1,0.5,4
218,15382,16/06/2019 19:31,Mango Chutney,1,0.5,5
219,15378,16/06/2019 19:09,Mango Chutney,1,0.5,7
220,15347,15/06/2019 18:58,Onion Chutney,2,0.5,9
221,15346,15/06/2019 18:58,Lime Pickle,1,0.5,4
222,15339,14/06/2019 21:50,Onion Chutney,1,0.5,5
223,15332,14/06/2019 19:41,Mango Chutney,1,0.5,11
224,15306,12/06/2019 18:42,Onion Chutney,2,0.5,9
225,15303,12/06/2019 16:50,Mango Chutney,1,0.5,8
226,15298,11/06/2019 19:19,Mango Chutney,2,0.5,8
227,15268,09/06/2019 14:08,Mango Chutney,1,0.5,9
228,15262,08/06/2019 22:08,Onion Chutney,1,0.5,5
229,15256,08/06/2019 20:30,Mint Sauce,1,0.5,8
230,15253,08/06/2019 19:38,Mint Sauce,1,0.5,11
231,15240,08/06/2019 17:05,Onion Chutney,1,0.5,5
232,15220,07/06/2019 18:48,Mint Sauce,1,0.5,5
233,15216,07/06/2019 18:21,Mango Chutney,1,0.5,14
234,15216,07/06/2019 18:21,Onion Chutney,3,0.5,14
235,15213,07/06/2019 18:12,Onion Chutney,1,0.5,14
236,15211,07/06/2019 18:04,Mango Chutney,2,0.5,8
237,15204,06/06/2019 18:59,Mango Chutney,1,0.5,6
238,15191,05/06/2019 11:29,Lime Pickle,1,0.5,11
239,15186,04/06/2019 20:08,Red Sauce,1,0.5,6
240,15186,04/06/2019 20:08,Mint Sauce,1,0.5,6
241,15173,04/06/2019 13:38,Mango Chutney,1,0.5,4
242,15171,04/06/2019 12:10,Lime Pickle,1,0.5,11
243,15166,03/06/2019 18:51,Mango Chutney,1,0.5,6
244,15140,01/06/2019 18:33,Mint Sauce,1,0.5,5
245,15127,31/05/2019 19:51,Mango Chutney,1,0.5,8
246,15113,31/05/2019 17:30,Mango Chutney,2,0.5,8
247,15113,31/05/2019 17:30,Onion Chutney,2,0.5,8
248,15105,30/05/2019 18:21,Lime Pickle,1,0.5,6
249,15091,28/05/2019 20:01,Red Sauce,1,0.5,6
250,15086,28/05/2019 19:07,Mango Chutney,2,0.5,8
251,15084,28/05/2019 18:56,Mint Sauce,1,0.5,6
252,15056,26/05/2019 20:31,Mint Sauce,2,0.5,6
253,15045,26/05/2019 18:25,Mango Chutney,1,0.5,9
254,15043,26/05/2019 17:46,Lime Pickle,1,0.5,11
255,15038,25/05/2019 22:15,Mango Chutney,1,0.5,6
256,15029,25/05/2019 20:07,Onion Chutney,1,0.5,8
257,15028,25/05/2019 19:54,Mango Chutney,1,0.5,8
258,15028,25/05/2019 19:54,Mint Sauce,1,0.5,8
259,15028,25/05/2019 19:54,Red Sauce,1,0.5,8
260,15016,25/05/2019 18:22,Mint Sauce,2,0.5,11
261,15016,25/05/2019 18:22,Onion Chutney,2,0.5,11
262,15016,25/05/2019 18:22,Lime Pickle,1,0.5,11
263,14987,24/05/2019 17:37,Mango Chutney,1,0.5,7
264,14984,23/05/2019 20:32,Onion Chutney,1,0.5,6
265,14982,23/05/2019 19:44,Onion Chutney,1,0.5,10
266,14971,22/05/2019 19:15,Red Sauce,1,0.5,5
267,14961,21/05/2019 19:05,Lime Pickle,1,0.5,5
268,14957,21/05/2019 18:07,Mint Sauce,1,0.5,10
269,14957,21/05/2019 18:07,Mango Chutney,1,0.5,10
270,14933,19/05/2019 17:57,Onion Chutney,1,0.5,9
271,14924,19/05/2019 12:45,Mint Sauce,1,0.5,11
272,14924,19/05/2019 12:45,Onion Chutney,1,0.5,11
273,14918,18/05/2019 22:13,Mango Chutney,1,0.5,5
274,14905,18/05/2019 20:23,Mint Sauce,1,0.5,9
275,14905,18/05/2019 20:23,Onion Chutney,1,0.5,9
276,14904,18/05/2019 20:13,Mango Chutney,2,0.5,9
277,14896,18/05/2019 19:09,Mango Chutney,4,0.5,7
278,14888,18/05/2019 18:15,Mango Chutney,1,0.5,8
279,14887,18/05/2019 18:10,Mango Chutney,1,0.5,9
280,14887,18/05/2019 18:10,Onion Chutney,2,0.5,9
281,14875,17/05/2019 21:02,Onion Chutney,1,0.5,6
282,14866,17/05/2019 19:07,Mango Chutney,2,0.5,10
283,14859,17/05/2019 18:06,Onion Chutney,1,0.5,12
284,14845,16/05/2019 17:23,Mango Chutney,1,0.5,6
285,14825,15/05/2019 18:11,Mango Chutney,1,0.5,7
286,14824,15/05/2019 18:09,Mango Chutney,1,0.5,10
287,14820,14/05/2019 20:13,Lime Pickle,1,0.5,9
288,14812,13/05/2019 20:21,Onion Chutney,1,0.5,4
289,14776,11/05/2019 21:32,Lime Pickle,1,0.5,10
290,14771,11/05/2019 20:29,Red Sauce,1,0.5,6
291,14757,11/05/2019 19:08,Mango Chutney,1,0.5,8
292,14754,11/05/2019 18:29,Mango Chutney,1,0.5,11
293,14730,10/05/2019 18:14,Onion Chutney,2,0.5,12
294,14701,07/05/2019 17:01,Mango Chutney,1,0.5,5
295,14675,05/05/2019 20:03,Mint Sauce,1,0.5,6
296,14669,05/05/2019 19:21,Mango Chutney,3,0.5,12
297,14669,05/05/2019 19:21,Mint Sauce,1,0.5,12
298,14668,05/05/2019 19:20,Onion Chutney,1,0.5,6
299,14663,05/05/2019 18:32,Mango Chutney,2,0.5,10
300,14663,05/05/2019 18:32,Mint Sauce,2,0.5,10
301,14644,04/05/2019 19:36,Onion Chutney,1,0.5,8
302,14642,04/05/2019 19:26,Mint Sauce,1,0.5,10
303,14639,04/05/2019 19:06,Mint Sauce,1,0.5,8
304,14639,04/05/2019 19:06,Red Sauce,1,0.5,8
305,14610,03/05/2019 19:07,Lime Pickle,1,0.5,5
306,14583,01/05/2019 20:18,Red Sauce,1,0.5,6
307,14581,01/05/2019 19:17,Mango Chutney,1,0.5,8
308,14577,01/05/2019 18:09,Mango Chutney,1,0.5,7
309,14574,30/04/2019 19:35,Mango Chutney,2,0.5,8
310,14569,30/04/2019 18:43,Mint Sauce,1,0.5,6
311,14568,30/04/2019 18:15,Mango Chutney,1,0.5,7
312,14568,30/04/2019 18:15,Onion Chutney,1,0.5,7
313,14559,29/04/2019 19:01,Onion Chutney,1,0.5,11
314,14559,29/04/2019 19:01,Mint Sauce,1,0.5,11
315,14537,27/04/2019 20:20,Red Sauce,1,0.5,6
316,14535,27/04/2019 20:11,Red Sauce,1,0.5,6
317,14531,27/04/2019 19:39,Mint Sauce,1,0.5,9
318,14518,27/04/2019 18:47,Lime Pickle,2,0.5,15
319,14501,26/04/2019 20:05,Mint Sauce,1,0.5,5
320,14492,26/04/2019 17:43,Mango Chutney,1,0.5,12
321,14492,26/04/2019 17:43,Onion Chutney,2,0.5,12
322,14492,26/04/2019 17:43,Lime Pickle,1,0.5,12
323,14490,26/04/2019 14:45,Mango Chutney,1,0.5,9
324,14487,25/04/2019 20:15,Mango Chutney,1,0.5,6
325,14471,23/04/2019 19:46,Mint Sauce,1,0.5,7
326,14467,23/04/2019 19:23,Mint Sauce,1,0.5,6
327,14453,22/04/2019 18:35,Mango Chutney,1,0.5,9
328,14443,21/04/2019 18:35,Mango Chutney,2,0.5,11
329,14443,21/04/2019 18:35,Red Sauce,1,0.5,11
330,14438,21/04/2019 17:42,Mango Chutney,1,0.5,4
331,14426,20/04/2019 19:53,Mango Chutney,1,0.5,4
332,14409,19/04/2019 20:07,Mint Sauce,1,0.5,10
333,14397,19/04/2019 17:51,Lime Pickle,1,0.5,13
334,14396,19/04/2019 17:43,Mango Chutney,1,0.5,14
335,14394,18/04/2019 20:34,Lime Pickle,1,0.5,5
336,14391,18/04/2019 19:36,Mango Chutney,1,0.5,6
337,14387,18/04/2019 17:44,Onion Chutney,1,0.5,7
338,14379,17/04/2019 19:53,Mango Chutney,1,0.5,7
339,14372,17/04/2019 18:54,Mint Sauce,1,0.5,11
340,14365,16/04/2019 20:54,Mint Sauce,1,0.5,7
341,14355,15/04/2019 21:02,Onion Chutney,1,0.5,5
342,14346,15/04/2019 17:50,Mango Chutney,1,0.5,9
343,14344,15/04/2019 12:28,Mango Chutney,1,0.5,11
344,14339,14/04/2019 19:53,Onion Chutney,1,0.5,11
345,14332,14/04/2019 18:56,Mango Chutney,1,0.5,11
346,14329,14/04/2019 18:40,Mango Chutney,1,0.5,9
347,14320,14/04/2019 16:36,Mint Sauce,1,0.5,9
348,14320,14/04/2019 16:36,Mango Chutney,1,0.5,9
349,14315,13/04/2019 19:58,Mint Sauce,1,0.5,8
350,14310,13/04/2019 19:22,Mint Sauce,1,0.5,10
351,14309,13/04/2019 19:07,Mint Sauce,1,0.5,11
352,14291,12/04/2019 20:08,Mint Sauce,1,0.5,9
353,14291,12/04/2019 20:08,Onion Chutney,1,0.5,9
354,14287,12/04/2019 19:43,Mint Sauce,1,0.5,5
355,14281,12/04/2019 19:07,Mango Chutney,1,0.5,9
356,14277,12/04/2019 18:47,Mango Chutney,1,0.5,5
357,14214,06/04/2019 20:14,Mint Sauce,1,0.5,6
358,14209,06/04/2019 19:35,Red Sauce,1,0.5,4
359,14197,06/04/2019 18:32,Mint Sauce,2,0.5,8
360,14195,06/04/2019 18:30,Lime Pickle,2,0.5,9
361,14193,06/04/2019 18:07,Mango Chutney,1,0.5,4
362,14192,06/04/2019 18:07,Mint Sauce,1,0.5,10
363,14175,05/04/2019 20:05,Red Sauce,1,0.5,9
364,14174,05/04/2019 20:03,Mint Sauce,1,0.5,7
365,14166,05/04/2019 18:46,Onion Chutney,1,0.5,8
366,14166,05/04/2019 18:46,Mango Chutney,1,0.5,8
367,14155,05/04/2019 17:40,Mango Chutney,1,0.5,11
368,14142,03/04/2019 18:52,Onion Chutney,1,0.5,7
369,14140,03/04/2019 18:40,Onion Chutney,1,0.5,6
370,14121,31/03/2019 19:41,Onion Chutney,1,0.5,4
371,14101,30/03/2019 19:58,Mango Chutney,2,0.5,9
372,14097,30/03/2019 19:27,Onion Chutney,2,0.5,12
373,14089,30/03/2019 18:31,Mint Sauce,1,0.5,10
374,14088,30/03/2019 18:23,Red Sauce,1,0.5,6
375,14085,30/03/2019 18:10,Mango Chutney,1,0.5,13
376,14067,29/03/2019 21:59,Onion Chutney,1,0.5,5
377,14061,29/03/2019 20:00,Mint Sauce,1,0.5,9
378,14061,29/03/2019 20:00,Mango Chutney,1,0.5,9
379,14057,29/03/2019 19:20,Mango Chutney,1,0.5,6
380,14056,29/03/2019 19:19,Mint Sauce,1,0.5,11
381,14053,29/03/2019 19:03,Mango Chutney,1,0.5,6
382,14049,29/03/2019 18:31,Mango Chutney,1,0.5,6
383,14043,29/03/2019 17:42,Onion Chutney,1,0.5,15
384,14043,29/03/2019 17:42,Mint Sauce,1,0.5,15
385,14030,28/03/2019 19:22,Mango Chutney,2,0.5,7
386,14029,28/03/2019 19:19,Mango Chutney,1,0.5,8
387,14025,28/03/2019 18:47,Mint Sauce,1,0.5,6
388,14024,28/03/2019 18:40,Onion Chutney,1,0.5,9
389,14019,28/03/2019 17:55,Mint Sauce,1,0.5,3
390,13999,26/03/2019 17:48,Onion Chutney,2,0.5,7
391,13989,24/03/2019 19:14,Mango Chutney,1,0.5,6
392,13956,23/03/2019 18:36,Mango Chutney,1,0.5,8
393,13949,23/03/2019 18:01,Mango Chutney,1,0.5,8
394,13949,23/03/2019 18:01,Lime Pickle,1,0.5,8
395,13945,23/03/2019 17:10,Mango Chutney,1,0.5,8
396,13940,22/03/2019 19:34,Mint Sauce,1,0.5,6
397,13938,22/03/2019 19:15,Red Sauce,1,0.5,8
398,13936,22/03/2019 18:50,Mint Sauce,2,0.5,5
399,13913,20/03/2019 21:41,Mango Chutney,1,0.5,4
400,13913,20/03/2019 21:41,Onion Chutney,1,0.5,4
401,13913,20/03/2019 21:41,Red Sauce,1,0.5,4
402,13910,20/03/2019 19:06,Mango Chutney,1,0.5,9
403,13910,20/03/2019 19:06,Lime Pickle,1,0.5,9
404,13891,19/03/2019 18:29,Red Sauce,1,0.5,16
405,13890,19/03/2019 17:27,Mint Sauce,1,0.5,7
406,13887,18/03/2019 20:40,Onion Chutney,2,0.5,6
407,13879,17/03/2019 18:35,Mint Sauce,1,0.5,8
408,13856,16/03/2019 19:09,Mango Chutney,1,0.5,9
409,13856,16/03/2019 19:09,Mint Sauce,1,0.5,9
410,13852,16/03/2019 18:39,Mango Chutney,2,0.5,11
411,13852,16/03/2019 18:39,Onion Chutney,2,0.5,11
412,13840,15/03/2019 22:26,Onion Chutney,2,0.5,5
413,13836,15/03/2019 19:58,Red Sauce,1,0.5,8
414,13835,15/03/2019 19:55,Red Sauce,1,0.5,10
415,13817,15/03/2019 17:54,Mango Chutney,2,0.5,8
416,13801,13/03/2019 18:35,Mango Chutney,2,0.5,7
417,13796,12/03/2019 20:51,Onion Chutney,1,0.5,6
418,13787,12/03/2019 18:54,Mint Sauce,1,0.5,9
419,13758,09/03/2019 19:37,Mango Chutney,2,0.5,11
420,13755,09/03/2019 19:03,Mint Sauce,1,0.5,10
421,13754,09/03/2019 18:47,Mint Sauce,1,0.5,13
422,13754,09/03/2019 18:47,Red Sauce,1,0.5,13
423,13752,09/03/2019 18:40,Onion Chutney,1,0.5,8
424,13740,09/03/2019 16:19,Mango Chutney,1,0.5,13
425,13740,09/03/2019 16:19,Lime Pickle,1,0.5,13
426,13733,08/03/2019 19:07,Mint Sauce,1,0.5,8
427,13727,08/03/2019 18:29,Mint Sauce,1,0.5,8
428,13725,08/03/2019 17:59,Mint Sauce,2,0.5,13
429,13725,08/03/2019 17:59,Red Sauce,2,0.5,13
430,13721,08/03/2019 17:23,Mango Chutney,1,0.5,14
431,13721,08/03/2019 17:23,Lime Pickle,1,0.5,14
